省份,累计确诊,死亡,治愈,现有确诊,累计确诊增量,死亡增量,治愈增量,现有确诊增量
西藏,1,0,1,0,0,0,0,0
澳门,78,0,77,1,1,0,0,1
青海,30,0,30,0,0,0,0,0
台湾,16950,850,13742,2358,35,0,0,35
香港,12598,213,12189,196,9,0,0,9
贵州,159,2,157,0,0,0,0,0
吉林,589,3,579,7,0,0,0,0
新疆,981,3,978,0,0,0,0,0
宁夏,122,0,122,0,0,0,0,0
内蒙古,1186,1,1066,119,0,0,49,-49
甘肃,356,2,349,5,0,0,4,-4
天津,565,3,523,39,1,0,0,1
山西,265,0,265,0,0,0,0,0
辽宁,793,2,787,4,0,0,1,-1
黑龙江,2035,13,2018,4,0,0,1,-1
海南,190,6,184,0,0,0,0,0
河北,1458,7,1451,0,0,0,0,0
陕西,1573,3,711,859,182,0,5,177
云南,1806,2,1712,92,3,0,4,-1
广西,599,2,341,256,6,0,1,5
福建,1352,1,1321,30,2,0,3,-1
上海,3056,7,2896,153,8,0,9,-1
北京,1208,9,1184,15,0,0,0,0
江苏,1624,0,1620,4,0,0,0,0
四川,1309,3,1278,28,0,0,0,0
山东,1040,7,1005,28,2,0,3,-1
江西,959,1,958,0,0,0,0,0
重庆,611,6,602,3,1,0,0,1
安徽,1009,6,1002,1,0,0,0,0
湖南,1216,4,1195,17,0,0,0,0
河南,1641,22,1589,30,0,0,1,-1
广东,3429,8,3337,84,2,0,6,-4
浙江,2008,1,1502,505,2,0,0,2
湖北,68316,4512,63804,0,0,0,0,0
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
韩国,615532,5346,500273,109913,4207,,,
塔吉克斯坦,17095,124,16966,5,0,,,
阿拉伯联合酋长国,753065,2159,741933,8973,0,,,
也门,10118,1984,7010,1124,0,,,
老挝,106778,328,7339,99111,547,,,
缅甸,529813,19257,507435,3121,310,,,
叙利亚,50127,2879,32036,15212,38,,,
东帝汶,19833,122,19704,7,0,,,
吉尔吉斯斯坦,184552,2798,179680,2074,29,,,
乌兹别克斯坦,198487,1484,195520,1483,145,,,
哈萨克斯坦,986553,12986,958277,15290,342,,,
土耳其,9333223,81733,8965748,285742,20138,,,
蒙古国,388755,2056,313256,73443,83,,,
塞浦路斯,152685,630,124370,27685,912,,,
文莱,15458,98,15260,100,29,,,
孟加拉国,1583626,28061,1547750,7815,373,,,
马尔代夫,95032,261,92679,2092,132,,,
不丹,2660,3,2642,15,0,,,
巴勒斯坦,438644,4643,430202,3799,176,,,
沙特阿拉伯,553319,8872,541010,3437,524,,,
约旦,1054892,12518,1002771,39603,1447,,,
印度尼西亚,4261879,144063,4113320,4496,120,,,
亚美尼亚,344540,7950,330841,5749,59,,,
卡塔尔,248435,616,244896,2923,639,,,
阿塞拜疆,614936,8309,595658,10969,306,,,
格鲁吉亚,925354,13583,885056,26715,986,,,
巴基斯坦,1294031,28912,1255204,9915,275,,,
阿曼,305174,4114,300314,746,69,,,
阿富汗,157967,7354,145492,5121,16,,,
巴林,280109,1394,276915,1800,287,,,
科威特,415349,2468,411386,1495,240,,,
伊拉克,2092650,24139,2063418,5093,166,,,
黎巴嫩,713670,9057,657888,46725,1311,,,
以色列,1368012,8242,1345367,14403,684,,,
伊朗,6186729,131434,6028495,26800,1967,,,
印度,34799691,480290,34243945,75456,6531,,,
菲律宾,2838792,51211,2778002,9579,152,,,
斯里兰卡,584107,14901,559684,9522,458,,,
柬埔寨,120469,3010,116885,574,15,,,
尼泊尔,827522,11586,811005,4931,251,,,
越南,1666545,31418,1259614,375513,14872,,,
马来西亚,2743936,31369,2669650,42917,2778,,,
日本,1731660,18386,1711218,2056,214,,,
新加坡,278044,825,274523,2696,209,,,
泰国,2214712,21630,2159443,33639,2437,,,
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
圣赫勒拿,2,0,2,0,0,,,
海峡群岛,23627,112,20939,2576,0,,,
马恩岛,13451,67,12999,385,5,,,
黑山,163954,2395,158160,3399,0,,,
法罗群岛,5261,13,4779,469,4,,,
阿尔巴尼亚,207877,3201,199517,5159,167,,,
保加利亚,735998,30623,606916,98459,838,,,
摩尔多瓦,374763,9625,360772,4366,177,,,
马耳他,47082,476,39675,6931,832,,,
斯洛伐克,826850,16445,760782,49623,1221,,,
梵蒂冈,27,0,27,0,0,,,
塞尔维亚,1291718,12621,1257813,21284,1249,,,
直布罗陀,8220,100,7559,561,72,,,
列支敦士登,5940,69,5588,283,6,,,
波黑,288128,13325,192218,82585,852,,,
匈牙利,1245319,38743,1087943,118633,7989,,,
斯洛文尼亚,456755,5552,435092,16111,698,,,
波兰,4054865,94365,3582296,378204,5027,,,
乌克兰,3646988,94971,3432739,119278,1864,,,
拉脱维亚,271766,4507,257839,9420,335,,,
葡萄牙,1286119,18890,1161615,105614,6334,,,
安道尔,22332,139,20419,1774,0,,,
捷克,2447758,35805,2273875,138078,2017,,,
爱尔兰,722461,5890,550429,166142,0,,,
卢森堡,99717,910,93286,5521,0,,,
圣马力诺,7655,98,6725,832,0,,,
摩纳哥,4809,38,4439,332,16,,,
冰岛,24340,37,20129,4174,2253,,,
白俄罗斯,694226,5512,686768,1946,642,,,
立陶宛,512224,7304,478405,26515,644,,,
荷兰,3076442,20728,2556718,498996,11432,,,
爱沙尼亚,237099,1916,220941,14242,534,,,
丹麦,715133,3217,558971,152945,15525,,,
罗马尼亚,1803311,58575,1733309,11427,566,,,
北马其顿,223330,7907,210732,4691,279,,,
挪威,378087,1258,88952,287877,2214,,,
希腊,1084153,20496,997016,66641,4036,,,
瑞士,1257306,12189,983404,261713,0,,,
克罗地亚,693813,12375,664687,16751,560,,,
奥地利,1266103,13650,1223628,28825,1550,,,
比利时,2052871,28218,1673484,351169,0,,,
西班牙,5932626,89139,5031961,811526,0,,,
瑞典,1273313,15229,1187361,70723,0,,,
俄罗斯,10415230,305155,9293486,816589,23210,,,
英国,12209991,148003,10126656,1935332,0,,,
意大利,5678112,136753,5003855,537504,24882,,,
芬兰,234041,1523,46000,186518,3649,,,
德国,7028368,111304,6217800,699264,14900,,,
法国,9146451,122898,7864693,1158860,27697,,,
国家,累计确诊,死亡,治愈,现有确诊,累计确诊增量,,,
莱索托,28126,665,14933,12528,531,,,
科摩罗,5867,154,4502,1211,126,,,
圣多美和普林西比,3759,57,3676,26,3,,,
南苏丹,14843,135,12789,1919,266,,,
马拉维,71551,2337,59602,9612,325,,,
布隆迪,23657,38,773,22846,0,,,
塞拉利昂,6779,123,4393,2263,38,,,
博茨瓦纳,212482,2439,196455,13588,0,,,
几内亚比绍,6466,149,6299,18,3,,,
马里,20120,658,18358,1104,68,,,
利比亚,386279,5665,374181,6433,881,,,
莫桑比克,172175,1973,152575,17627,527,,,
厄立特里亚,7902,73,7661,168,13,,,
乌干达,135091,3280,98287,33524,743,,,
安哥拉,71752,1749,64016,5987,610,,,
马达加斯加,49590,1027,44708,3855,0,,,
津巴布韦,205449,4908,166717,33824,605,,,
佛得角,39173,351,38187,635,59,,,
尼日尔,7289,274,6887,128,3,,,
乍得,5701,181,4874,646,0,,,
毛里求斯,23251,762,21793,696,81,,,
赞比亚,234476,3709,212712,18055,1356,,,
吉布提,13593,189,13339,65,4,,,
冈比亚,10136,342,9688,106,0,,,
贝宁,24935,161,24705,69,0,,,
索马里,23532,1333,12948,9251,0,,,
坦桑尼亚,26483,734,183,25566,0,,,
利比里亚,6228,287,5535,406,0,,,
马约特,21506,185,2964,18357,0,,,
刚果（布）,20089,367,12421,7301,0,,,
中非共和国,12163,101,6859,5203,0,,,
塞舌尔,24197,131,23742,324,0,,,
赤道几内亚,13630,175,13410,45,0,,,
纳米比亚,146097,3611,129667,12819,460,,,
卢旺达,105989,1348,45522,59119,515,,,
斯威士兰,64561,1284,55845,7432,62,,,
毛里塔尼亚,40614,862,39026,726,51,,,
